timeindex,Mid-electricity-load-profile,South-electricity-load-profile,North-electricity-load-profile
2015-04-04T14:00:00Z,59897.6645228465,6273.70757881154,13065.0405414333
2015-04-04T15:00:00Z,59078.0830689166,6209.19170830812,13044.7846646248
2015-04-04T16:00:00Z,59266.4042470764,6127.16438723948,12991.5192107953
2015-04-04T17:00:00Z,59665.1455171595,5903.20215106331,13098.0501184544
2015-04-04T18:00:00Z,61390.7824353987,5885.69070049809,13563.9352850481
2015-04-04T19:00:00Z,59455.6862475737,6162.18728836991,13190.3268905817
2015-04-04T20:00:00Z,56908.5462307295,6703.19894530577,12337.3294116492
2015-04-04T21:00:00Z,52295.6381881535,6403.6609751113,11521.8428156952
2015-04-04T22:00:00Z,49074.961712687,5989.83774859648,11001.1917599528
2015-04-04T23:00:00Z,47383.9143985996,5355.73890707711,10775.3762444218
2015-04-05T00:00:00Z,46691.1614932263,4802.74573133347,10614.079447614
2015-04-05T01:00:00Z,47246.51680433,4500.44279526029,10699.6042608051
2015-04-05T02:00:00Z,48638.7483714394,4302.28690728548,10833.1430042088
2015-04-05T03:00:00Z,51248.3418402244,4196.29654860129,11470.0777971848
2015-04-05T04:00:00Z,56444.469041693,4192.60992742966,12512.8803439888
2015-04-05T05:00:00Z,60894.0372868855,4296.75697552805,13629.9544390904
2015-04-05T06:00:00Z,63198.0892523296,4611.96308570192,13951.7978150465
2015-04-05T07:00:00Z,64055.1427774239,5019.3347251664,13929.2912852593
2015-04-05T08:00:00Z,64992.9053788724,5978.7778850816,13855.0197369618
2015-04-05T09:00:00Z,65906.6474218821,6274.62923410445,13633.7055273883
2015-04-05T10:00:00Z,64969.8456427712,6418.40745979779,13311.1119337726
2015-04-05T11:00:00Z,64107.9880059892,6470.94181149344,13018.5270465398
2015-04-05T12:00:00Z,62592.7711796733,5969.56133215254,12808.4661018599
2015-04-05T13:00:00Z,61505.1202935671,5972.32629803126,12704.9360648391
2015-04-05T14:00:00Z,60356.9376001952,6075.55169083674,12580.3999333502
2015-04-05T15:00:00Z,59848.6625836315,5949.28491570861,12581.9003686694
2015-04-05T16:00:00Z,59814.0729794797,5798.13344767201,12506.1283850527
2015-04-05T17:00:00Z,59681.4794968978,5645.13866904961,12499.3764261165
2015-04-05T18:00:00Z,60821.9756115693,5591.68266206106,12918.7480978169
2015-04-05T19:00:00Z,58761.0116975252,5851.58945466057,12655.4216993074
2015-04-05T20:00:00Z,56066.865863036,6452.50870563532,12061.2493129269
